epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.641,1.9965,2.13201,1.47789,0.73772,0.57138,0.68881,0.38302,1.60377,1.80249,1.1081,0.00065,0.00065,0.00065
2,210.445,1.36233,1.06289,1.07395,0.68975,0.63554,0.67521,0.34215,1.65689,1.35451,1.12941,0.00130363,0.00130363,0.00130363
3,322.221,1.32015,1.00334,1.05453,0.72633,0.72209,0.76397,0.43655,1.40934,1.17072,1.19415,0.00194406,0.00194406,0.00194406
4,424.11,1.24299,0.97226,1.02385,0.73276,0.83172,0.829,0.50942,1.3101,1.02492,1.02368,0.0019406,0.0019406,0.0019406
5,521.988,1.20519,0.91431,1.01537,0.84847,0.86886,0.88871,0.55648,1.21912,0.87527,0.99578,0.0019208,0.0019208,0.0019208
6,617.77,1.19551,0.88391,1.00895,0.88792,0.86414,0.91885,0.59086,1.22745,0.84754,1.00588,0.001901,0.001901,0.001901
7,717.612,1.17123,0.82168,0.98819,0.88015,0.88034,0.94036,0.60726,1.16939,0.80844,1.0042,0.0018812,0.0018812,0.0018812
8,814.074,1.15021,0.88499,0.98408,0.91953,0.86966,0.93754,0.60284,1.19773,0.7613,0.97914,0.0018614,0.0018614,0.0018614
9,908.738,1.12716,0.83527,0.97933,0.89635,0.82172,0.89751,0.56661,1.21815,0.93581,0.98183,0.0018416,0.0018416,0.0018416
10,1002.58,1.10763,0.76499,0.96747,0.87655,0.83493,0.91759,0.56039,1.33639,0.84564,1.0061,0.0018218,0.0018218,0.0018218
11,1097.86,1.09975,0.79213,0.96246,0.89501,0.90543,0.93069,0.60599,1.15188,0.7461,0.95477,0.001802,0.001802,0.001802
12,1189.02,1.08916,0.7883,0.96694,0.88826,0.89138,0.94163,0.61168,1.20154,0.78774,0.97204,0.0017822,0.0017822,0.0017822
13,1282.2,1.05808,0.76097,0.94992,0.87492,0.8531,0.90213,0.59998,1.16512,0.76838,0.97895,0.0017624,0.0017624,0.0017624
14,1373.25,1.06282,0.72657,0.95133,0.88882,0.88765,0.93505,0.62952,1.12644,0.74968,0.96312,0.0017426,0.0017426,0.0017426
15,1464.82,1.04736,0.74152,0.94882,0.88085,0.86417,0.91286,0.61027,1.12723,0.76023,0.96675,0.0017228,0.0017228,0.0017228
16,1556.36,1.0419,0.73287,0.95065,0.90815,0.8933,0.95571,0.64546,1.11382,0.68712,0.95389,0.001703,0.001703,0.001703
17,1650.23,1.03937,0.70275,0.9455,0.897,0.88288,0.9389,0.60537,1.21503,0.75285,0.96552,0.0016832,0.0016832,0.0016832
18,1743.85,1.02467,0.71696,0.93642,0.92019,0.89621,0.93187,0.62313,1.08528,0.68896,0.94887,0.0016634,0.0016634,0.0016634
