epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26183,3.05387,3.88607,1.93302,0.00231,0.00888,0.00117,0.0004,2.34885,3.88648,1.421,1.667e-05,1.667e-05,1.667e-05
2,1.88235,3.03647,3.87457,1.83943,0.00388,0.01541,0.00199,0.0008,2.18884,3.86871,1.34192,4.95149e-05,4.95149e-05,4.95149e-05
3,2.47869,2.77707,3.8739,1.80141,0.00568,0.02311,0.00294,0.00126,1.98591,3.83796,1.2436,8.16997e-05,8.16997e-05,8.16997e-05
4,3.17141,2.51057,3.84781,1.63454,0.01603,0.06178,0.0086,0.00483,1.7218,3.78341,1.10254,0.000113224,0.000113224,0.000113224
5,3.81872,2.01371,3.79713,1.43126,0.03511,0.13283,0.02004,0.00887,1.68334,3.74093,1.05614,0.000144089,0.000144089,0.000144089
6,4.44544,1.86497,3.70972,1.28629,0.04589,0.17419,0.0277,0.0114,1.73805,3.72024,1.04849,0.000174293,0.000174293,0.000174293
7,5.08234,1.78025,3.67829,1.21837,0.03359,0.13594,0.0209,0.00973,1.66891,3.66276,1.02101,0.000203837,0.000203837,0.000203837
8,5.69368,1.62767,3.54818,1.15989,0.02286,0.08182,0.01304,0.00686,1.547,3.61718,0.98762,0.000232722,0.000232722,0.000232722
9,6.27916,1.61829,3.34038,1.1325,0.02257,0.07763,0.01264,0.00718,1.53941,3.61143,0.98891,0.000260946,0.000260946,0.000260946
10,6.90371,1.62297,3.33171,1.09228,0.02999,0.10519,0.01698,0.00917,1.53833,3.61518,0.9903,0.000288509,0.000288509,0.000288509
11,7.50431,1.5898,3.21746,1.09481,0.02829,0.10334,0.01569,0.00827,1.54023,3.59623,0.99166,0.000315413,0.000315413,0.000315413
12,8.13348,1.58427,3.15448,1.06357,0.01405,0.05472,0.00857,0.00448,1.55199,3.53965,0.99416,0.000341657,0.000341657,0.000341657
13,8.77205,1.60183,3.05761,1.03305,0.00933,0.03708,0.00921,0.0029,1.55625,3.50231,0.99499,0.00036724,0.00036724,0.00036724
14,9.36196,1.54886,2.8636,1.05037,0.01571,0.06411,0.01668,0.00521,1.57019,3.46748,0.99307,0.000392163,0.000392163,0.000392163
15,9.93856,1.55103,2.75377,1.04456,0.02355,0.10471,0.04745,0.01629,1.63825,3.41664,1.0029,0.000416427,0.000416427,0.000416427
16,10.5712,1.58801,2.74755,1.02263,0.034,0.15498,0.0716,0.02726,1.69668,3.3847,1.0215,0.00044003,0.00044003,0.00044003
17,11.1559,1.6311,2.77224,1.05662,0.05809,0.25266,0.10416,0.03916,1.66842,3.34983,1.01413,0.000462973,0.000462973,0.000462973
18,11.7371,1.58921,2.4902,1.05516,0.10655,0.40538,0.16417,0.06809,1.61542,3.30761,0.99226,0.000485255,0.000485255,0.000485255
19,12.3477,1.65895,2.31469,1.04753,0.16103,0.57325,0.30496,0.14249,1.60439,3.23863,0.98683,0.000506878,0.000506878,0.000506878
20,12.9462,1.65869,2.2748,1.03289,0.18401,0.65545,0.39692,0.19276,1.64689,3.1906,0.99355,0.000527841,0.000527841,0.000527841
21,13.5548,1.60759,2.16662,1.02595,0.1905,0.68133,0.42417,0.20106,1.70013,3.17486,1.01324,0.000548143,0.000548143,0.000548143
22,14.1781,1.60664,1.96017,1.02775,0.20195,0.72418,0.46665,0.21028,1.7437,3.11917,1.02169,0.000567785,0.000567785,0.000567785
23,14.8572,1.59397,1.90848,1.01278,0.21138,0.758,0.49235,0.22887,1.7222,3.00485,1.00891,0.000586767,0.000586767,0.000586767
24,15.6996,1.61742,1.8653,1.00421,0.22024,0.78894,0.50124,0.24506,1.68315,2.85359,0.9938,0.000605089,0.000605089,0.000605089
25,16.2731,1.62432,1.70625,1.02896,0.40528,0.62941,0.50177,0.25422,1.64022,2.69157,0.98512,0.000622751,0.000622751,0.000622751
26,16.8598,1.58887,1.76127,1.05129,0.29361,0.8484,0.53993,0.2729,1.63482,2.55706,0.99126,0.000639753,0.000639753,0.000639753
27,17.5244,1.53452,1.54013,0.99843,0.508,0.63727,0.58177,0.29526,1.62476,2.43686,0.98466,0.000656095,0.000656095,0.000656095
28,18.1466,1.5474,1.56729,1.01864,0.508,0.63727,0.58177,0.29526,1.62476,2.43686,0.98466,0.000671776,0.000671776,0.000671776
29,18.7775,1.56443,1.50685,1.02521,0.70985,0.42118,0.60237,0.30552,1.64847,2.3796,0.99101,0.000686797,0.000686797,0.000686797
30,19.4406,1.53898,1.48344,0.98217,0.73172,0.38661,0.60088,0.3049,1.64211,2.36494,0.99047,0.000701159,0.000701159,0.000701159
